Network,Station,lon [deg],lat [deg],P pick [s],P error [s],S pick [s],S error [s],RW period [s],RW pick [s],RW error [s]
  ,    ,       ,      ,       ,     ,       ,     , 197.44,197.05,54.60
  ,    ,       ,      ,       ,     ,       ,     , 278.71,188.40,82.17
AU,MANU,147.366, -2.043,329.32, 0.96,603.38,43.50,  15.97,1059.69,235.90
  ,    ,       ,      ,       ,     ,       ,     ,  24.45,951.10,177.86
  ,    ,       ,      ,       ,     ,       ,     ,  33.14,850.00,31.83
  ,    ,       ,      ,       ,     ,       ,     ,  44.93,820.04,22.47
  ,    ,       ,      ,       ,     ,       ,     ,  58.48,801.32,54.29
  ,    ,       ,      ,       ,     ,       ,     ,  73.10,767.62,39.32
  ,    ,       ,      ,       ,     ,       ,     ,  97.09,756.39,59.91
  ,    ,       ,      ,       ,     ,       ,     , 121.36,745.16,52.42
  ,    ,       ,      ,       ,     ,       ,     , 157.96,782.60,54.29
  ,    ,       ,      ,       ,     ,       ,     , 205.61,793.83,67.40
  ,    ,       ,      ,       ,     ,       ,     , 251.84,831.28,97.36
  ,    ,       ,      ,       ,     ,       ,     , 314.77,763.88,125.44
  ,    ,       ,      ,       ,     ,       ,     , 370.21,674.01,198.46
  ,    ,       ,      ,       ,     ,       ,     , 481.89,584.14,215.31
IU,DAV,125.579,  7.070,213.70, 1.70,390.21,31.38,  14.14,673.62,106.61
  ,    ,       ,      ,       ,     ,       ,     ,  19.56,633.22,118.96
  ,    ,       ,      ,       ,     ,       ,     ,  34.52,500.80,131.30
  ,    ,       ,      ,       ,     ,       ,     ,  50.74,458.15,35.91
  ,    ,       ,      ,       ,     ,       ,     ,  63.42,460.40,48.26
  ,    ,       ,      ,       ,     ,       ,     ,  84.24,446.93,41.52
  ,    ,       ,      ,       ,     ,       ,     , 109.66,437.95,38.16
  ,    ,       ,      ,       ,     ,       ,     , 134.31,417.75,61.72
  ,    ,       ,      ,       ,     ,       ,     , 154.79,437.95,76.31
  ,    ,       ,      ,       ,     ,       ,     , 201.48,462.64,83.05
  ,    ,       ,      ,       ,     ,       ,     , 246.78,453.67,113.35
  ,    ,       ,      ,       ,     ,       ,     , 327.80,420.00,121.20
AU,KDU,132.473,-12.687,158.71, 1.15,288.72,18.01,  11.09,514.67,43.20
  ,    ,       ,      ,       ,     ,       ,     ,  14.73,490.48,46.65
  ,    ,       ,      ,       ,     ,       ,     ,  18.79,457.65,42.33
  ,    ,       ,      ,       ,     ,       ,     ,  23.96,424.82,47.52
  ,    ,       ,      ,       ,     ,       ,     ,  31.19,390.26,46.65
